wave,flux
4388.724,0.8456129
4389.685,0.8516926
4390.646,0.8467551
4391.607,0.842065
4392.568,0.8478098
4393.529,0.8562011
4394.49,0.8623221
4395.452,0.8653895
4396.413,0.868023
4397.374,0.8766365
4398.335,0.8932872
4399.296,0.9036835
4400.257,0.8994046
4401.218,0.896854
4402.18,0.9090757
4403.141,0.9116949
4404.102,0.9257055
4405.063,0.9285762
4406.024,0.9293694
4406.985,0.9352136
4407.946,0.953658
4408.907,0.9549881
4409.869,0.9624259
4410.83,0.9630904
4411.791,0.9644576
4412.752,0.9648386
4413.713,0.9572491
4414.674,0.9512506
4415.635,0.949213
4416.597,0.9577744
4417.558,0.9637002
4418.519,0.9617519
4419.48,0.9700558
4420.441,0.9838496
4421.402,0.9898465
4422.363,0.9866028
4423.324,0.9822372
4424.286,0.9818687
4425.247,0.9877574
4426.208,0.9921181
4427.169,0.9890451
4428.13,0.9926348
4429.091,1.001877
4430.052,0.9946476
4431.014,0.9900436
4431.975,0.9887122
4432.936,0.9831261
4433.897,0.9889575
4434.858,1.006165
4435.819,1.002406
4436.78,0.9992576
4437.741,1.001622
4438.703,0.9978959
4439.664,1.001446
4440.625,1.000243
4441.586,0.9908503
4442.547,0.9860873
4443.508,0.9841875
4444.469,0.9891027
4445.431,1.001749
4446.392,1.006366
4447.353,1.000731
4448.314,0.994109
4449.275,0.9972458
4450.236,0.996145
4451.197,0.9918619
4452.158,0.9943976
4453.12,1.003704
4454.081,1.010114
4455.042,1.005712
4456.003,1.004119
4456.964,1.007972
4457.925,1.000734
4458.886,0.9997328
4459.848,1.004116
4460.809,0.9988834
4461.77,0.9999019
4462.731,0.9939001
4463.692,1.00116
4464.653,1.000831
4465.614,0.9933099
4466.575,0.9974788
4467.537,0.9965975
4468.498,0.9912381
4469.459,0.9966964
4470.42,0.9951963
4471.381,0.9927484
4472.342,0.9951009
4473.303,1.006744
4474.265,1.004854
4475.226,1.009537
4476.187,1.014048
4477.148,1.014433
4478.109,1.00657
4479.07,1.002072
4480.031,1.009241
4480.992,1.010176
4481.954,1.000302
4482.915,1.001921
4483.876,1.011876
4484.837,1.008794
4485.798,1.007629
4486.759,1.009279
4487.72,1.007063
4488.682,0.9962391
4489.643,1.001148
4490.604,1.003549
4491.565,1.013774
4492.526,1.005824
4493.487,1.002242
4494.448,0.9955954
4495.409,0.9946507
4496.371,1.000399
4497.332,1.001924
4498.293,1.00669
4499.254,0.9954716
4500.215,0.9924181
4501.176,0.992437
4502.137,0.9959779
4503.099,0.9960728
4504.06,1.000113
4505.021,1.007238
4505.982,1.011579
4506.943,1.008856
4507.904,1.004238
4508.865,1.006463
4509.826,1.006372
4510.788,1.001511
4511.749,1.003818
4512.71,1.005038
4513.671,0.9929084
4514.632,0.9968618
4515.593,0.9999017
4516.555,1.008595
4517.516,0.9995492
4518.477,0.9942719
4519.438,1.001458
4520.399,1.001486
4521.36,0.9929436
4522.321,0.9968711
4523.282,0.9964277
4524.243,0.991191
4525.205,0.9949524
4526.166,0.9907593
4527.127,0.9967507
4528.088,0.9950984
4529.049,0.9900675
4530.01,0.9895909
4530.972,0.9834515
4531.933,0.9827952
4532.894,0.9841515
4533.854,0.9796544
4534.816,0.9886947
4535.777,0.9998924
4536.738,0.9981955
4537.699,0.9998242
4538.66,1.011798
4539.622,1.008797
4540.583,0.9968671
4541.544,0.9978772
4542.505,1.009903
4543.466,1.004808
4544.427,1.000726
4545.389,0.9939179
4546.35,0.9938105
4547.311,0.9856498
4548.271,0.9791945
4549.233,0.9723359
4550.194,0.9735166
4551.155,0.9736039
4552.116,0.979048
4553.077,0.9769639
4554.039,0.9787564
4555.,0.985362
4555.961,0.9884156
4556.922,0.9953659
4557.883,1.004382
4558.844,1.00148
4559.806,0.9863552
4560.767,0.9865882
4561.728,0.9948113
4562.688,0.9934592
4563.65,0.996026
4564.611,0.9903843
4565.572,0.9961987
4566.533,1.004533
4567.494,0.9993433
4568.456,1.000286
4569.417,0.9905221
4570.378,1.000027
4571.339,0.989695
4572.3,0.9876271
4573.261,0.9930995
4574.223,0.9980745
4575.184,0.9949674
4576.145,1.002736
4577.105,1.003728
4578.067,0.9993157
4579.028,0.9973424
4579.989,0.9948436
4580.95,1.000458
4581.912,1.004718
4582.873,1.00063
4583.834,0.996245
4584.795,0.9957685
4585.756,0.997795
4586.717,1.00006
4587.678,1.001513
4588.64,0.993327
4589.601,1.001326
4590.562,1.002222
4591.523,0.9967144
4592.484,0.9966195
4593.445,1.001281
4594.406,1.004857
4595.367,1.002304
4596.329,0.9975585
4597.29,0.997277
4598.251,0.9983706
4599.212,0.9957813
4600.173,0.9925672
4601.134,0.9911423
4602.095,0.9919397
4603.057,0.9946057
4604.018,0.9967027
4604.979,0.9995954
4605.94,1.000961
4606.901,1.002009
4607.862,1.000214
4608.823,0.9993479
4609.784,1.005502
4610.746,1.000165
4611.707,0.9922076
4612.668,0.9949485
4613.629,0.9930157
4614.59,1.00661
4615.551,1.003635
4616.512,0.9934077
4617.474,1.000078
4618.435,0.9943016
4619.396,0.9963013
4620.357,1.002502
4621.318,1.005799
4622.279,1.003937
4623.24,0.9989943
4624.201,0.9957215
4625.163,0.9976278
4626.124,1.00129
4627.085,0.9915627
4628.046,0.9903992
4629.007,0.99082
4629.968,0.9982631
4630.929,0.9967834
4631.891,0.995603
4632.852,0.9954999
4633.812,0.9982542
4634.774,1.002326
4635.735,1.001623
4636.696,0.9994049
4637.657,1.002949
4638.618,1.001547
4639.58,1.003718
4640.541,0.9969203
4641.502,1.003378
4642.463,1.009565
4643.424,1.005392
4644.385,1.00625
4645.346,1.006886
4646.308,1.000237
4647.269,0.9990123
4648.229,1.001613
4649.191,0.9988945
4650.152,0.9980659
4651.113,0.9948539
4652.074,0.998405
4653.035,0.9988253
4653.997,1.000018
4654.958,0.9944178
4655.919,0.9937803
4656.88,1.004095
4657.841,1.00863
4658.802,1.008939
4659.763,1.003034
4660.725,1.003882
4661.686,1.000224
4662.646,0.9986747
4663.608,0.9978671
4664.569,0.9970595
4665.53,1.004667
4666.491,1.00356
4667.452,0.9945076
4668.414,1.005492
4669.375,1.007397
4670.336,0.9963779
4671.297,0.993763
4672.258,1.003617
4673.219,1.00097
4674.18,0.9970056
4675.142,1.002827
4676.103,0.9998941
4677.063,0.9940367
4678.025,1.000343
4678.986,0.9993235
4679.947,0.9977099
4680.908,1.003619
4681.869,1.009181
4682.831,1.000789
4683.792,0.9943302
4684.753,0.998679
4685.714,1.004099
4686.675,1.005914
4687.636,1.003154
4688.597,0.9996886
4689.559,1.002866
4690.52,1.002581
4691.48,1.002691
4692.442,1.005307
4693.403,1.000822
4694.364,0.9951409
4695.325,0.9979652
4696.286,1.000567
4697.248,0.9994919
4698.208,1.004379
4699.17,1.00507
4700.131,0.9999726
4701.092,1.001437
4702.053,1.001223
4703.014,0.9934031
4703.976,0.9928401
4704.937,0.99597
4705.897,0.9966984
4706.859,1.003336
4707.82,1.004879
4708.781,0.9981669
4709.742,1.004578
4710.703,0.9998085
4711.665,0.9968578
4712.625,0.9996139
4713.587,0.9969251
4714.548,0.9958356
4715.509,0.9921463
4716.47,0.9949052
4717.431,0.9998138
4718.393,1.003705
4719.354,1.009457
4720.314,1.01044
4721.276,1.008488
4722.237,1.010239
4723.198,1.009006
4724.159,1.007267
4725.12,1.00741
4726.082,1.005289
4727.042,1.004715
4728.004,1.004911
4728.965,1.003375
4729.926,1.006479
4730.887,1.005753
4731.848,0.9904838
4732.81,0.9918681
4733.771,0.9930634
4734.731,1.000598
4735.693,0.9948099
4736.654,0.9915809
4737.615,0.9917476
4738.576,1.000758
4739.537,1.006706
4740.499,1.002553
4741.459,1.002195
